product_code,color_value
2002248536,로즈 브와제 48
2002248536,뿌프르 휘그 97
2002248553,로즈 립스틱 40
2002248553,루즈 아마존 75
2002248553,베쥬 도톰 20
2002248553,루즈 에라블 79
2002248553,루즈 비뉴 82
2002248553,19 로즈 브뤼에르
2002248563,오렌지
2002250435,그린
2003252101,내추럴
2003252380,그린
2003252449,라이트블루
2003252456,라이트블루
2003253239,화이트
2003253361,오트밀
2003253439,실버
2003253440,로즈 골드
2003253521,실버
2003253522,로즈 골드
2003253523,실버
2003253867,기타
2003253958,아이보리
2003253958,블랙
2003253960,블랙
2003253960,아이보리
2003253964,네이비
2003254098,블랙
2003254104,블랙
2003254106,화이트
2003254109,화이트
2003254109,블랙
2003254111,아이보리
2003254111,블랙
2003258400,블랙
2004260537,그레이
2004260854,아이보리
2004261064,아이보리
2004261993,골드
2004261994,골드
2004261995,골드
2004261996,골드
2004261998,골드
2004262001,골드
2004262004,골드
2004262005,골드
2004262006,골드
2004262007,골드
2004262008,골드
2004262010,골드
2004262013,골드
2004262024,골드
2004262034,골드
2004262035,골드
2004262036,골드
2004262037,골드
2004262038,골드
2004262498,화이트
2004262932,옐로우
2004262934,화이트
2004263849,화이트
2004263856,베이지
2004263857,베이지
2004263860,그린
2004263861,그린
2004264053,투명
2004264054,투명
2004264055,화이트
2004264299,투명
2004264502,화이트
2005266344,투명
2005266437,블랙
2005266438,블랙
2005266440,레드
2005266459,다크 그레이
2005266461,다크 핑크
2005266462,다크 그린
2005266463,블랙
2005266464,다크 그레이
2005266465,그레이
2005266472,다크 그레이
2005266473,다크 블루
2005266474,다크 그레이
2005266475,다크 블루
2005266476,블랙
2005266477,다크 블루
2005266483,워시드 블랙
2005266484,블루
2005266485,그린
2005266486,라이트 그레이
2005267024,베이지
2005268251,라이트바이올렛
2005268254,마젠타
2005268283,민트
2005268289,블루
2005268290,다크 그레이
2005268291,그린
2005268542,아이 프라이머
2005269294,투명
2005270519,멀티
2005272086,블랙
2005272094,네이비
2005272095,핑크
2005272126,화이트
2005272473,블루
2005272474,그린
2005272475,오렌지
2005272477,그린
2005272478,그린
2005272480,핑크
2005272485,골드
2005272485,핑크
2005272485,실버
2005272666,오렌지
2005272667,오렌지
2005272668,오렌지
2005272720,핑크
2005272722,핑크
2005272859,브라운
2006273814,그레이
2006273826,라이트그레이
2006274163,베이지
2006274164,브라운
2006274228,화이트
2006274243,화이트
2006274297,그린
2006274980,그린
2006274987,핑크
2006274991,핑크
2006274994,아이보리
2006274995,블루
2006274998,그린
2006275002,그린
2006275004,그린
2006275009,블루
2006275013,크림
2006275205,실버
2006275206,실버
2006275207,실버
2006275208,실버
2006275209,실버
2006275210,실버
2006275211,실버
2006275212,골드
2006275415,화이트
2006275450,화이트
2006275586,블루
2006275587,그레이
2006276129,베이지
2006276750,네이비
2006277460,베이지
2006277472,베이지
2006278371,투명
2006279733,블랙
2006279764,올리브
2006279804,네이비
2006280321,그레이
2007280398,투명
2007280646,코랄
2007280654,오렌지
2007280658,블루
