product_code,promotion_code,promotion_name
01P0000285690,2408144587,가장 기본이 되는 식기 설기
01P0000286961,2401117409,#리얼한시마을
1812155304,2402119987,#리얼한시마을
1812155304,2307095929,시뷰티 x 테라사이클
1812155304,2403121200,#리얼한시마을
1812159089,2408144162,풍성한 추석 음식 이야기
1812159089,2308100781,SIV 레시피 다이어리
1812159410,2408144162,풍성한 추석 음식 이야기
1812159410,2309103641,SIV 레시피 다이어리 Ep.2
1812159410,2308100781,SIV 레시피 다이어리
1901166173,2408144162,풍성한 추석 음식 이야기
1901166484,2408144162,풍성한 추석 음식 이야기
1901168095,2408144162,풍성한 추석 음식 이야기
1902171310,2307095929,시뷰티 x 테라사이클
1902171311,2307095929,시뷰티 x 테라사이클
1902171314,2307095929,시뷰티 x 테라사이클
1902171338,2307095929,시뷰티 x 테라사이클
1902171339,2307095929,시뷰티 x 테라사이클
1902171344,2307095929,시뷰티 x 테라사이클
1902171369,2307095929,시뷰티 x 테라사이클
1903178733,2403124449,#빌리저스초이스
1903178733,2312113527,#빌리저스초이스
1903178735,2307095929,시뷰티 x 테라사이클
1903178737,2307095929,시뷰티 x 테라사이클
1905186134,2408145245,요긴하게 쓰이는 정리 꿀템
1905186135,2408145245,요긴하게 쓰이는 정리 꿀템
1905186136,2408145245,요긴하게 쓰이는 정리 꿀템
1905186137,2408145245,요긴하게 쓰이는 정리 꿀템
1905186138,2408145245,요긴하게 쓰이는 정리 꿀템
1905186139,2408145245,요긴하게 쓰이는 정리 꿀템
1905186140,2408145245,요긴하게 쓰이는 정리 꿀템
1905186141,2408145245,요긴하게 쓰이는 정리 꿀템
1905186151,2408144588,나의 매일을 편안하게 만드는 일상용품
1905186249,2408144588,나의 매일을 편안하게 만드는 일상용품
1905186250,2408144588,나의 매일을 편안하게 만드는 일상용품
1905189165,2408144162,풍성한 추석 음식 이야기
1906189915,1907009144,전지적 참견 휴가지
1906189917,1907009144,전지적 참견 휴가지
1906189939,2408144162,풍성한 추석 음식 이야기
1906189940,2408144162,풍성한 추석 음식 이야기
1906190255,2408144588,나의 매일을 편안하게 만드는 일상용품
1906190282,2408144162,풍성한 추석 음식 이야기
1906190283,2408145245,요긴하게 쓰이는 정리 꿀템
1906190805,2408144588,나의 매일을 편안하게 만드는 일상용품
1906191070,2408145245,요긴하게 쓰이는 정리 꿀템
1906191170,2408145245,요긴하게 쓰이는 정리 꿀템
1906192727,2408144162,풍성한 추석 음식 이야기
1906194283,2408144162,풍성한 추석 음식 이야기
1906194646,2408144162,풍성한 추석 음식 이야기
1906194646,2401116968,청룡
1906194646,2312112191,Holiday Dining Table
1907196476,2304087264,유니버셜 오버롤 아울렛 오픈
1907199923,2408144162,풍성한 추석 음식 이야기
1907199923,2311108165,SIV x Dot Slash Dash
1907199923,2309103641,SIV 레시피 다이어리 Ep.2
1908205047,2307095929,시뷰티 x 테라사이클
1908205047,2309103601,#리얼한시마을
1908208938,2408143761,비디비치의 한가위 선물
1908208938,2309103601,#리얼한시마을
1908208939,2408143761,비디비치의 한가위 선물
1908208939,2309103601,#리얼한시마을
1909209556,2408144162,풍성한 추석 음식 이야기
1909212148,2408143541,BYREDO 가을맞이 베스트 퍼퓸 추천
1910215143,2408145245,요긴하게 쓰이는 정리 꿀템
1910216740,2408142863,새 계절에 갖출 새로운 감각
1911224103,2408143761,비디비치의 한가위 선물
1912231441,2403123442,LOVE WINS ALL
1912231441,2406136438,#빌리저스초이스
1912231441,2406136233,향기로 채우는 나만의 공간
1912231444,2406136233,향기로 채우는 나만의 공간
2001242630,2408145786,일상 속 특별함을 가진 실루엣
2001242644,2408145786,일상 속 특별함을 가진 실루엣
2001242687,2408145786,일상 속 특별함을 가진 실루엣
2001242863,2408145786,일상 속 특별함을 가진 실루엣
2001242866,2408145786,일상 속 특별함을 가진 실루엣
2001243122,2408145786,일상 속 특별함을 가진 실루엣
2001243304,2408145786,일상 속 특별함을 가진 실루엣
2001243306,2408145786,일상 속 특별함을 가진 실루엣
2001243361,2408145786,일상 속 특별함을 가진 실루엣
2001243363,2408145786,일상 속 특별함을 가진 실루엣
2002248534,2406136438,#빌리저스초이스
2002248534,2403124449,#빌리저스초이스
2002250435,2405131258,변덕스러운 날씨에도 쏟아지는 감성
2003252101,2403124449,#빌리저스초이스
2003253867,2408144162,풍성한 추석 음식 이야기
2003253958,2408145786,일상 속 특별함을 가진 실루엣
2003253960,2408145786,일상 속 특별함을 가진 실루엣
2003253964,2408145786,일상 속 특별함을 가진 실루엣
2003254098,2408145786,일상 속 특별함을 가진 실루엣
