gift_mgmt_no,gift_goods_dtl_no,gift_limit_qty,vir_vend_no,gift_limit_qty_mng_yn,goods_nm,goods_no,item_nm,gift_goods_nm,gift_limit_rest_qt,item_no,cmps_qty
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2300012341,2300019275,0,VV10000001,N,[DV]OI 펌프 280ml,2302682559,[DV]OI 펌프 280ml,[DV]OI 펌프 280ml,0,CQ099706950,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300012341,2300019275,0,VV10000001,N,[DV]OI 펌프 280ml,2302682559,[DV]OI 펌프 280ml,[DV]OI 펌프 280ml,0,CQ099706950,1
2300010539,2300015792,0,VV10000001,N,[DV] 오아이 펌프 1000ml,2301633195,[DV] 오아이 펌프 1000ml,[DV] 오아이 펌프 1000ml,0,CQ099706816,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300010539,2300015792,0,VV10000001,N,[DV] 오아이 펌프 1000ml,2301633195,[DV] 오아이 펌프 1000ml,[DV] 오아이 펌프 1000ml,0,CQ099706816,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2400017974,2400030290,0,VV10000001,N,[사은품] [LM]2021 LM 무상쇼핑백 XS,2212597779,[사은품] [LM]2021 LM 무상쇼핑백 XS,[사은품] [LM]2021 LM 무상쇼핑백 XS,0,CN099706634,1
2400017974,2400030290,0,VV10000001,N,[사은품] [LM]2021 LM 무상쇼핑백 XS,2212597779,[사은품] [LM]2021 LM 무상쇼핑백 XS,[사은품] [LM]2021 LM 무상쇼핑백 XS,0,CN099706634,1
2400017973,2400030289,0,VV10000001,N,[사은품] [LM]2019 LM 무상쇼핑백 M,2212597781,[사은품] [LM]2019 LM 무상쇼핑백 M,[사은품] [LM]2019 LM 무상쇼핑백 M,0,CN099706636,1
2300013155,2300020861,0,VV10000001,N,[LM]바디 스파츌러,2302678760,[LM]바디 스파츌러,[LM]바디 스파츌러,0,CN099706938,1
