product_code,deli_cost_form_cd,deli_cost_poli_no,st_amt,deli_cost_unit_qty,city_exp_deli_cost,ret_deli_cost,prepay_permit_form_cd,deli_cost_amt
01P0000171739,10,0000000001,40000,0,0,3000,,3000
01P0000171740,10,0000000001,40000,0,0,3000,,3000
01P0000171741,10,0000000001,40000,0,0,3000,,3000
01P0000174948,10,0000000001,40000,0,0,3000,,3000
01P0000175700,10,0000000001,40000,0,0,3000,,3000
01P0000175703,10,0000000001,40000,0,0,3000,,3000
01P0000176406,10,0000000001,40000,0,0,3000,,3000
01P0000181743,10,0000000001,40000,0,0,3000,,3000
01P0000181816,10,0000000001,40000,0,0,3000,,3000
01P0000181818,10,0000000001,40000,0,0,3000,,3000
01P0000181822,10,0000000001,40000,0,0,3000,,3000
01P0000185534,10,0000000001,40000,0,0,3000,,3000
01P0000185535,10,0000000001,40000,0,0,3000,,3000
01P0000185544,10,0000000001,40000,0,0,3000,,3000
01P0000185580,10,0000000001,40000,0,0,3000,,3000
01P0000185586,10,0000000001,40000,0,0,3000,,3000
01P0000185602,10,0000000001,40000,0,0,3000,,3000
01P0000187251,10,0000000001,40000,0,0,3000,,3000
01P0000187669,10,0000000001,40000,0,0,3000,,3000
01P0000188498,10,0000000001,40000,0,0,3000,,3000
01P0000194151,10,0000000001,40000,0,0,3000,,3000
01P0000194154,10,0000000001,40000,0,0,3000,,3000
01P0000194566,10,0000000001,40000,0,0,3000,,3000
01P0000194579,10,0000000001,40000,0,0,3000,,3000
01P0000194582,10,0000000001,40000,0,0,3000,,3000
01P0000195925,10,0000000001,40000,0,0,3000,,3000
01P0000196632,10,0000000001,40000,0,0,3000,,3000
01P0000201230,10,0000000001,40000,0,0,3000,,3000
01P0000205033,10,0000000001,40000,0,0,3000,,3000
01P0000206275,10,0000000001,40000,0,0,3000,,3000
01P0000206276,10,0000000001,40000,0,0,3000,,3000
01P0000206279,10,0000000001,40000,0,0,3000,,3000
01P0000206280,10,0000000001,40000,0,0,3000,,3000
01P0000206284,10,0000000001,40000,0,0,3000,,3000
01P0000207040,10,0000000001,40000,0,0,3000,,3000
01P0000207102,10,0000000001,40000,0,0,3000,,3000
01P0000207104,10,0000000001,40000,0,0,3000,,3000
01P0000207106,10,0000000001,40000,0,0,3000,,3000
01P0000207110,10,0000000001,40000,0,0,3000,,3000
01P0000207122,10,0000000001,40000,0,0,3000,,3000
01P0000207124,10,0000000001,40000,0,0,3000,,3000
01P0000207137,10,0000000001,40000,0,0,3000,,3000
01P0000207144,10,0000000001,40000,0,0,3000,,3000
01P0000207145,10,0000000001,40000,0,0,3000,,3000
01P0000207148,10,0000000001,40000,0,0,3000,,3000
01P0000207169,10,0000000001,40000,0,0,3000,,3000
01P0000207194,10,0000000001,40000,0,0,3000,,3000
01P0000209023,10,0000000001,40000,0,0,3000,,3000
01P0000210038,10,0000000001,40000,0,0,3000,,3000
01P0000210058,10,0000000001,40000,0,0,3000,,3000
01P0000210059,10,0000000001,40000,0,0,3000,,3000
01P0000210060,10,0000000001,40000,0,0,3000,,3000
01P0000210061,10,0000000001,40000,0,0,3000,,3000
01P0000210062,10,0000000001,40000,0,0,3000,,3000
01P0000211741,10,0000000001,40000,0,0,3000,,3000
01P0000211747,10,0000000001,40000,0,0,3000,,3000
01P0000211748,10,0000000001,40000,0,0,3000,,3000
01P0000211749,10,0000000001,40000,0,0,3000,,3000
